Row,Player,Fixture,Scout,Error,Source File
3049,Thomas Kaminski,Plymouth Argyle 3:1 Luton Town,Thomas Evans,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
3061,Ishe Samuels-Smith,Chelsea U21 1:2 West Bromwich Albion U21,Thomas Evans,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
3081,Reece Burke,Plymouth Argyle 3:1 Luton Town,Thomas Evans,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
3122,Devante Cole,Chelsea U21 1:2 West Bromwich Albion U21,Thomas Evans,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
3182,Harvey Vale,Chelsea U21 1:2 West Bromwich Albion U21,Thomas Evans,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
3186,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3187,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3188,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3189,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3190,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3191,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3192,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3193,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3194,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3195,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3196,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3197,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3198,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3199,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3200,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3201,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3202,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3203,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3204,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3205,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3206,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3207,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3208,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3209,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3210,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3211,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3212,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3213,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3214,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
3215,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
